# Cross-dataset type aliases for MaleCNS v1.0 type names. Built by scripts/build_type_map_nern2025.py.
# system flywire_matsliah2024 / flywire_schlegel2024 / hemibrain: Sup_Table_7 of Nern A, Loesche F, Takemura S-y, et al. (2025) Connectome-driven neural inventory of a complete visual system. Nature 641, 1225-1237. doi:10.1038/s41586-025-08746-0 (CC BY 4.0) (preliminary male optic lobe -> female FlyWire matches;
#       Matsliah = FlyWire optic-lobe names (Matsliah et al. 2024), Schlegel = FlyWire whole-brain names (Schlegel et al. 2024), hemibrain = Scheffer et al. 2020 names).
# system malecns_flywireType / malecns_hemibrainType: the MaleCNS v1.0 per-cell annotation columns (CC BY, male-cns.janelia.org), majority value per type.
# tier: exact = alias identical to the MaleCNS name (1-to-1 / >=90% of annotated cells); alias = different name, 1-to-1 or >=90% of annotated cells;
#       fuzzy = n-to-1 / 1-to-n match, composite alias string, or majority < 90% (evidence gives the cardinality or the shares).
malecns_type,alias,system,tier,evidence
Y11,CB3846,flywire_schlegel2024,alias,Sup_Table_7 row 92: matched as 1-to-1
Y12,Y12,flywire_matsliah2024,exact,Sup_Table_7 row 93: matched as 1-to-1
Y13,Y1,flywire_matsliah2024,alias,Sup_Table_7 row 94: matched as 1-to-1
Y13,Y1,flywire_schlegel2024,alias,Sup_Table_7 row 94: matched as 1-to-1
Y14,Y4,flywire_matsliah2024,alias,Sup_Table_7 row 95: matched as 1-to-1
Y14,Y4,flywire_schlegel2024,alias,Sup_Table_7 row 95: matched as 1-to-1
Y3,Y3,flywire_matsliah2024,exact,Sup_Table_7 row 96: matched as 1-to-1
Y3,Y3,flywire_schlegel2024,exact,Sup_Table_7 row 96: matched as 1-to-1
Cm-DRA,Sm28,flywire_matsliah2024,alias,Sup_Table_7 row 98: matched as 1-to-1
Cm1,Sm02,flywire_matsliah2024,alias,Sup_Table_7 row 99: matched as 1-to-1
Cm10,Sm10,flywire_matsliah2024,alias,Sup_Table_7 row 100: matched as 1-to-1
Cm11a,Sm19,flywire_matsliah2024,alias,Sup_Table_7 row 101: matched as 1-to-1
Cm11a,CB3832,flywire_schlegel2024,alias,Sup_Table_7 row 101: matched as 1-to-1
Cm11b,Sm20,flywire_matsliah2024,alias,Sup_Table_7 row 102: matched as 1-to-1
Cm11b,CB3832,flywire_schlegel2024,alias,Sup_Table_7 row 102: matched as 1-to-1
Cm11c,Sm21,flywire_matsliah2024,alias,Sup_Table_7 row 103: matched as 1-to-1
Cm11c,CB3832,flywire_schlegel2024,alias,Sup_Table_7 row 103: matched as 1-to-1
Cm11d,Sm26,flywire_matsliah2024,alias,Sup_Table_7 row 104: matched as 1-to-1
Cm11d,CB3832,flywire_schlegel2024,alias,Sup_Table_7 row 104: matched as 1-to-1
Cm12,Sm16,flywire_matsliah2024,alias,Sup_Table_7 row 105: matched as 1-to-1
Cm12,CB3825,flywire_schlegel2024,alias,Sup_Table_7 row 105: matched as 1-to-1
Cm13,Sm22,flywire_matsliah2024,alias,Sup_Table_7 row 106: matched as 1-to-1
Cm13,CB3853,flywire_schlegel2024,alias,Sup_Table_7 row 106: matched as 1-to-1
Cm14,Sm23,flywire_matsliah2024,alias,Sup_Table_7 row 107: matched as 1-to-1
Cm14,CB3855,flywire_schlegel2024,alias,Sup_Table_7 row 107: matched as 1-to-1
Cm15,Sm13,flywire_matsliah2024,alias,Sup_Table_7 row 108: matched as 1-to-1
Cm16,Sm14,flywire_matsliah2024,alias,Sup_Table_7 row 109: matched as 1-to-1
Cm17,Sm27,flywire_matsliah2024,alias,Sup_Table_7 row 110: matched as 1-to-1
Cm19,Sm31,flywire_matsliah2024,alias,Sup_Table_7 row 112: matched as 1-to-1
Cm2,Sm01,flywire_matsliah2024,alias,Sup_Table_7 row 113: matched as 1-to-1
Cm20,Sm17,flywire_matsliah2024,fuzzy,Sup_Table_7 row 114: matched as 2-to-1
Cm21,Sm30,flywire_matsliah2024,alias,Sup_Table_7 row 115: matched as 1-to-1
Cm21,CB3817,flywire_schlegel2024,alias,Sup_Table_7 row 115: matched as 1-to-1
Cm22,Sm17,flywire_matsliah2024,fuzzy,Sup_Table_7 row 116: matched as 2-to-1
Cm23,Sm25,flywire_matsliah2024,alias,Sup_Table_7 row 117: matched as 1-to-1
Cm24,Sm29,flywire_matsliah2024,alias,Sup_Table_7 row 118: matched as 1-to-1
Cm25,Sm33,flywire_matsliah2024,alias,Sup_Table_7 row 119: matched as 1-to-1
Cm27,Sm24,flywire_matsliah2024,alias,Sup_Table_7 row 121: matched as 1-to-1
Cm28,Sm34,flywire_matsliah2024,alias,Sup_Table_7 row 122: matched as 1-to-1
Cm29,Sm37,flywire_matsliah2024,alias,Sup_Table_7 row 123: matched as 1-to-1
Cm3,Sm07,flywire_matsliah2024,alias,Sup_Table_7 row 124: matched as 1-to-1
Cm3,Dm21,flywire_schlegel2024,alias,Sup_Table_7 row 124: matched as 1-to-1
Cm30,Sm39,flywire_matsliah2024,alias,Sup_Table_7 row 125: matched as 1-to-1
Cm30,CB3838,flywire_schlegel2024,alias,Sup_Table_7 row 125: matched as 1-to-1
Cm31a,Sm41,flywire_matsliah2024,alias,Sup_Table_7 row 126: matched as 1-to-1
Cm31a,CB3841,flywire_schlegel2024,alias,Sup_Table_7 row 126: matched as 1-to-1
Cm31b,Sm42,flywire_matsliah2024,alias,Sup_Table_7 row 127: matched as 1-to-1
Cm32,Sm36,flywire_matsliah2024,alias,Sup_Table_7 row 128: matched as 1-to-1
Cm32,CB3844,flywire_schlegel2024,alias,Sup_Table_7 row 128: matched as 1-to-1
Cm33,Sm38,flywire_matsliah2024,alias,Sup_Table_7 row 129: matched as 1-to-1
Cm33,CB3838,flywire_schlegel2024,alias,Sup_Table_7 row 129: matched as 1-to-1
Cm34,Sm43,flywire_matsliah2024,alias,Sup_Table_7 row 130: matched as 1-to-1
Cm35,Sm40,flywire_matsliah2024,alias,Sup_Table_7 row 131: matched as 1-to-1
Cm35,CB3843,flywire_schlegel2024,alias,Sup_Table_7 row 131: matched as 1-to-1
Cm4,Sm03,flywire_matsliah2024,alias,Sup_Table_7 row 132: matched as 1-to-1
Cm5,Sm08,flywire_matsliah2024,alias,Sup_Table_7 row 133: matched as 1-to-1
Cm5,Dm21,flywire_schlegel2024,alias,Sup_Table_7 row 133: matched as 1-to-1
Cm6,Sm06,flywire_matsliah2024,alias,Sup_Table_7 row 134: matched as 1-to-1
Cm7,Sm09,flywire_matsliah2024,alias,Sup_Table_7 row 135: matched as 1-to-1
Cm7,Dm21,flywire_schlegel2024,alias,Sup_Table_7 row 135: matched as 1-to-1
Cm8,Sm12+Sm18,flywire_matsliah2024,fuzzy,Sup_Table_7 row 136: matched as 1-to-2; composite alias string (several source types)
Cm9,Sm15,flywire_matsliah2024,alias,Sup_Table_7 row 137: matched as 1-to-1
Cm9,Dm21,flywire_schlegel2024,alias,Sup_Table_7 row 137: matched as 1-to-1
Dm-DRA1,DmDRA1,flywire_matsliah2024,alias,Sup_Table_7 row 138: matched as 1-to-1; note: FlyWire DmDRA1 includes a few candidate Cm18 matches
Dm-DRA2,DmDRA2,flywire_matsliah2024,alias,Sup_Table_7 row 139: matched as 1-to-1
Dm-DRA2,Dm11,flywire_schlegel2024,alias,Sup_Table_7 row 139: matched as 1-to-1
Dm1,Dm1,flywire_matsliah2024,exact,Sup_Table_7 row 140: matched as 1-to-1
Dm1,Dm1,flywire_schlegel2024,exact,Sup_Table_7 row 140: matched as 1-to-1
Dm10,Dm10,flywire_matsliah2024,exact,Sup_Table_7 row 141: matched as 1-to-1
