bodyId,type,side,seed_bodyId,hex1,hex2,hex_source,seed_displaced_for_injectivity,seed_assignment_distance
720575941465488406,Mi1,R,720575941465488406,15,5,connectivity_candidate,False,0.0321437819
720575941467371030,Mi1,R,720575941467371030,5,-2,connectivity_candidate,False,0.0354516474
720575941467830493,Mi1,R,720575941467830493,-1,-9,connectivity_candidate,False,0.0249614893
720575941468238045,Mi1,R,720575941468238045,1,14,connectivity_candidate,False,0.0513659772
720575941468469014,Mi1,R,720575941468469014,13,4,connectivity_candidate,False,0.0333367956
720575941468502358,Mi1,R,720575941468502358,3,7,connectivity_candidate,False,0.0352365255
720575941468534358,Mi1,R,720575941468534358,-7,-5,connectivity_candidate,False,0.0425181138
720575941469118583,Mi1,R,720575941469118583,-5,-16,connectivity_candidate,True,0.848785665
720575941469633911,Mi1,R,720575941469633911,2,-12,connectivity_candidate,True,0.668576923
720575941469634167,Mi1,R,720575941469634167,-10,-8,connectivity_candidate,False,0.0448373319
720575941469685312,Mi1,R,720575941469685312,-11,4,connectivity_candidate,True,1.09055081
720575941469685771,Mi1,R,720575941469685771,-17,-9,connectivity_candidate,True,0.698582881
720575941469797952,Mi1,R,720575941469797952,12,3,connectivity_candidate,False,0.0335409198
720575941469976587,Mi1,R,720575941469976587,-8,-6,connectivity_candidate,False,0.0439943312
720575941469982475,Mi1,R,720575941469982475,-14,-9,connectivity_candidate,False,0.226892041
720575941470077451,Mi1,R,720575941470077451,13,9,connectivity_candidate,False,0.0325735568
720575941471167243,Mi1,R,720575941471167243,12,-3,connectivity_candidate,False,0.121993656
720575941471509213,Mi1,R,720575941471509213,1,15,connectivity_candidate,False,0.037478919
720575941471563584,Mi1,R,720575941471563584,6,-11,connectivity_candidate,False,0.423697904
720575941471853152,Mi1,R,720575941471853152,2,-6,connectivity_candidate,False,0.0337788226
720575941471891552,Mi1,R,720575941471891552,7,-4,connectivity_candidate,False,0.039648477
720575941472465015,Mi1,R,720575941472465015,12,1,connectivity_candidate,False,0.033630701
720575941472912682,Mi1,R,720575941472912682,1,-3,connectivity_candidate,False,0.0338288094
720575941473329194,Mi1,R,720575941473329194,-5,-2,connectivity_candidate,False,0.0408378366
720575941473378090,Mi1,R,720575941473378090,8,-4,connectivity_candidate,False,0.0417653075
720575941473907259,Mi1,R,720575941473907259,-5,5,connectivity_candidate,False,0.025175342
720575941475215675,Mi1,R,720575941475215675,0,12,connectivity_candidate,False,0.0386668509
720575941475226976,Mi1,R,720575941475226976,5,6,connectivity_candidate,False,0.0333338976
720575941475241568,Mi1,R,720575941475241568,4,1,connectivity_candidate,False,0.0342696956
720575941475276347,Mi1,R,720575941475276347,-11,5,connectivity_candidate,False,0.572233734
720575941475297054,Mi1,R,720575941475297054,8,13,connectivity_candidate,False,0.0331420326
720575941475434289,Mi1,R,720575941475434289,13,19,connectivity_candidate,False,0.0455080837
720575941475538225,Mi1,R,720575941475538225,-8,-9,connectivity_candidate,False,0.0440403405
720575941475633438,Mi1,R,720575941475633438,8,3,connectivity_candidate,False,0.0340194745
720575941475815466,Mi1,R,720575941475815466,-8,1,connectivity_candidate,False,0.336171647
720575941476051764,Mi1,R,720575941476051764,-9,0,connectivity_candidate,False,0.377035333
720575941476531818,Mi1,R,720575941476531818,5,-7,connectivity_candidate,False,0.0421988764
720575941476532074,Mi1,R,720575941476532074,6,-6,connectivity_candidate,False,0.0419614371
720575941476533866,Mi1,R,720575941476533866,5,-6,connectivity_candidate,False,0.0398518134
720575941476567611,Mi1,R,720575941476567611,-14,-11,connectivity_candidate,False,0.283502352
720575941476828778,Mi1,R,720575941476828778,-8,0,connectivity_candidate,False,0.0610534687
720575941478058545,Mi1,R,720575941478058545,-1,-7,connectivity_candidate,False,0.0298797504
720575941478225376,Mi1,R,720575941478225376,-9,-13,connectivity_candidate,True,0.805178341
720575941478314602,Mi1,R,720575941478314602,-11,-12,connectivity_candidate,False,0.281799467
720575941478427444,Mi1,R,720575941478427444,5,-8,connectivity_candidate,False,0.0437900237
720575941478439220,Mi1,R,720575941478439220,-12,-14,connectivity_candidate,False,0.345755744
720575941478851552,Mi1,R,720575941478851552,-10,7,connectivity_candidate,True,0.577029107
720575941478880321,Mi1,R,720575941478880321,7,8,connectivity_candidate,False,0.033636198
720575941478882784,Mi1,R,720575941478882784,-4,9,connectivity_candidate,False,0.0417924997
720575941479014465,Mi1,R,720575941479014465,-8,-11,connectivity_candidate,False,0.0414859657
720575941479169871,Mi1,R,720575941479169871,-2,-13,connectivity_candidate,False,0.131724685
720575941479170639,Mi1,R,720575941479170639,15,2,connectivity_candidate,False,0.0210998272
720575941479171151,Mi1,R,720575941479171151,1,-11,connectivity_candidate,False,0.0491240528
720575941479171407,Mi1,R,720575941479171407,1,-12,connectivity_candidate,False,0.160435002
720575941479225423,Mi1,R,720575941479225423,-4,-6,connectivity_candidate,False,0.0356891409
720575941479236943,Mi1,R,720575941479236943,9,-5,connectivity_candidate,False,0.0459781059
720575941479237711,Mi1,R,720575941479237711,6,-2,connectivity_candidate,False,0.0364098419
720575941479283395,Mi1,R,720575941479283395,-12,1,connectivity_candidate,True,0.809165171
720575941479379619,Mi1,R,720575941479379619,4,8,connectivity_candidate,False,0.0368612447
720575941479380131,Mi1,R,720575941479380131,-5,2,connectivity_candidate,False,0.0360359089
720575941479380643,Mi1,R,720575941479380643,-10,6,connectivity_candidate,False,0.526924831
720575941479485263,Mi1,R,720575941479485263,5,9,connectivity_candidate,False,0.0348239361
720575941479718307,Mi1,R,720575941479718307,3,-2,connectivity_candidate,False,0.0342826721
720575941479727840,Mi1,R,720575941479727840,-4,-10,connectivity_candidate,False,0.0271960634
720575941479810154,Mi1,R,720575941479810154,3,-3,connectivity_candidate,False,0.0342891797
720575941480281027,Mi1,R,720575941480281027,11,15,connectivity_candidate,False,0.0337167209
720575941480342914,Mi1,R,720575941480342914,-5,-6,connectivity_candidate,False,0.0370528164
720575941480585155,Mi1,R,720575941480585155,13,16,connectivity_candidate,False,0.0470423773
720575941480588995,Mi1,R,720575941480588995,14,14,connectivity_candidate,False,0.0356471355
720575941481180611,Mi1,R,720575941481180611,-1,-1,connectivity_candidate,False,0.0356977861
720575941481257952,Mi1,R,720575941481257952,6,3,connectivity_candidate,False,0.0340858477
720575941481544134,Mi1,R,720575941481544134,-16,-14,connectivity_candidate,False,0.326895913
720575941481651139,Mi1,R,720575941481651139,4,-11,connectivity_candidate,True,0.58785552
720575941481743546,Mi1,R,720575941481743546,-16,-12,connectivity_candidate,False,0.280456926
720575941481773507,Mi1,R,720575941481773507,2,9,connectivity_candidate,False,0.0301585338
720575941482094522,Mi1,R,720575941482094522,7,-5,connectivity_candidate,False,0.0419334014
720575941482128058,Mi1,R,720575941482128058,-13,2,connectivity_candidate,False,0.160832968
720575941482199805,Mi1,R,720575941482199805,4,14,connectivity_candidate,False,0.437494638
720575941482200962,Mi1,R,720575941482200962,8,-1,connectivity_candidate,False,0.0367840731
720575941482276943,Mi1,R,720575941482276943,5,-12,connectivity_candidate,True,0.899174603
720575941482337359,Mi1,R,720575941482337359,-5,-4,connectivity_candidate,False,0.0397745319
720575941482588611,Mi1,R,720575941482588611,-1,-12,connectivity_candidate,False,0.131650586
720575941482765391,Mi1,R,720575941482765391,-12,-13,connectivity_candidate,True,0.840409302
720575941483405821,Mi1,R,720575941483405821,1,-15,connectivity_candidate,True,0.481842747
720575941484452674,Mi1,R,720575941484452674,4,-6,connectivity_candidate,False,0.0381789645
720575941484623682,Mi1,R,720575941484623682,8,15,connectivity_candidate,False,0.0377049539
720575941484706626,Mi1,R,720575941484706626,7,9,connectivity_candidate,False,0.0320296611
720575941484806662,Mi1,R,720575941484806662,3,-9,connectivity_candidate,False,0.044765413
720575941485989328,Mi1,R,720575941485989328,-4,-7,connectivity_candidate,False,0.0332565896
720575941485989840,Mi1,R,720575941485989840,4,-12,connectivity_candidate,False,0.345467511
720575941486238349,Mi1,R,720575941486238349,-3,-5,connectivity_candidate,False,0.0351974585
720575941486259778,Mi1,R,720575941486259778,10,1,connectivity_candidate,False,0.0351520397
720575941486432006,Mi1,R,720575941486432006,10,10,connectivity_candidate,False,0.0301926046
720575941486453200,Mi1,R,720575941486453200,8,-6,connectivity_candidate,False,0.0464561735
720575941487329232,Mi1,R,720575941487329232,12,2,connectivity_candidate,False,0.033808038
720575941487859206,Mi1,R,720575941487859206,-3,8,connectivity_candidate,False,0.0397396908
720575941488329734,Mi1,R,720575941488329734,8,5,connectivity_candidate,False,0.0337149039
720575941489315273,Mi1,R,720575941489315273,-4,5,connectivity_candidate,False,0.00975209272
720575941489482700,Mi1,R,720575941489482700,-3,-14,connectivity_candidate,False,0.129935343
720575941489486796,Mi1,R,720575941489486796,5,-10,connectivity_candidate,True,0.980552529
720575941489741262,Mi1,R,720575941489741262,13,15,connectivity_candidate,False,0.0388749272
720575941489809358,Mi1,R,720575941489809358,-7,-4,connectivity_candidate,False,0.0431247168
720575941490845132,Mi1,R,720575941490845132,-4,-12,connectivity_candidate,False,0.0221783604
720575941491148341,Mi1,R,720575941491148341,7,1,connectivity_candidate,False,0.0347638337
720575941491435184,Mi1,R,720575941491435184,2,-11,connectivity_candidate,False,0.0530615449
720575941491740366,Mi1,R,720575941491740366,0,0,connectivity_candidate,False,0.0357384969
720575941493070567,Mi1,R,720575941493070567,-11,1,connectivity_candidate,False,0.259438734
720575941493138407,Mi1,R,720575941493138407,2,1,connectivity_candidate,False,0.0343103328
720575941493582974,Mi1,R,720575941493582974,-4,-15,connectivity_candidate,False,0.134888746
720575941493638526,Mi1,R,720575941493638526,4,17,connectivity_candidate,True,1.16734493
720575941493771390,Mi1,R,720575941493771390,-14,-16,connectivity_candidate,False,0.323907701
720575941494354558,Mi1,R,720575941494354558,5,3,connectivity_candidate,False,0.0339347851
720575941494479047,Mi1,R,720575941494479047,-16,-7,connectivity_candidate,True,0.798195376
720575941494533319,Mi1,R,720575941494533319,11,17,connectivity_candidate,False,0.0365973488
720575941494691527,Mi1,R,720575941494691527,4,11,connectivity_candidate,False,0.032247574
720575941494706814,Mi1,R,720575941494706814,-12,0,connectivity_candidate,False,0.455208191
720575941494844848,Mi1,R,720575941494844848,17,16,connectivity_candidate,True,1.02612296
720575941494911358,Mi1,R,720575941494911358,-1,-4,connectivity_candidate,False,0.0339442138
720575941494943664,Mi1,R,720575941494943664,1,3,connectivity_candidate,False,0.0325137023
720575941495316096,Mi1,R,720575941495316096,-9,-16,connectivity_candidate,True,0.824310086
720575941496161918,Mi1,R,720575941496161918,6,5,connectivity_candidate,False,0.0338877567
720575941496367227,Mi1,R,720575941496367227,6,-10,connectivity_candidate,False,0.224637175
720575941496376443,Mi1,R,720575941496376443,-6,4,connectivity_candidate,False,0.490150397
720575941497416009,Mi1,R,720575941497416009,4,-4,connectivity_candidate,False,0.0357548385
720575941497480417,Mi1,R,720575941497480417,-5,4,connectivity_candidate,False,0.00932430686
720575941497486409,Mi1,R,720575941497486409,-12,-10,connectivity_candidate,False,0.275159678
720575941497512161,Mi1,R,720575941497512161,-1,-8,connectivity_candidate,False,0.0277704164
720575941497786018,Mi1,R,720575941497786018,-11,-16,connectivity_candidate,True,0.821587751
720575941497802658,Mi1,R,720575941497802658,3,2,connectivity_candidate,False,0.0340441711
720575941497810082,Mi1,R,720575941497810082,12,-1,connectivity_candidate,False,0.0462283629
720575941497811399,Mi1,R,720575941497811399,9,7,connectivity_candidate,False,0.0336684682
720575941498251426,Mi1,R,720575941498251426,2,5,connectivity_candidate,False,0.0323518925
720575941498492800,Mi1,R,720575941498492800,-5,-7,connectivity_candidate,False,0.0355787506
720575941498994505,Mi1,R,720575941498994505,-13,-11,connectivity_candidate,False,0.280984312
720575941499847035,Mi1,R,720575941499847035,15,9,connectivity_candidate,True,0.739283945
720575941499847803,Mi1,R,720575941499847803,8,-9,connectivity_candidate,False,0.423976009
720575941500241633,Mi1,R,720575941500241633,5,10,connectivity_candidate,False,0.0347321927
720575941500492427,Mi1,R,720575941500492427,-8,-8,connectivity_candidate,False,0.0438798663
720575941500715081,Mi1,R,720575941500715081,-15,-8,connectivity_candidate,False,0.213638038
720575941502111575,Mi1,R,720575941502111575,16,13,connectivity_candidate,True,0.991874363
720575941502117719,Mi1,R,720575941502117719,6,10,connectivity_candidate,False,0.0337560648
720575941502166507,Mi1,R,720575941502166507,-14,-10,connectivity_candidate,False,0.283551316
720575941502303319,Mi1,R,720575941502303319,12,17,connectivity_candidate,False,0.0408595583
720575941502315095,Mi1,R,720575941502315095,-9,-7,connectivity_candidate,False,0.0463684642
720575941502324823,Mi1,R,720575941502324823,-7,-7,connectivity_candidate,False,0.0411690257
720575941502372914,Mi1,R,720575941502372914,11,4,connectivity_candidate,False,0.0333792282
720575941502519383,Mi1,R,720575941502519383,-8,-18,connectivity_candidate,True,0.892458254
720575941502712514,Mi1,R,720575941502712514,-6,8,connectivity_candidate,False,0.502448107
720575941503117618,Mi1,R,720575941503117618,-18,-9,connectivity_candidate,True,0.583518277
720575941503323698,Mi1,R,720575941503323698,-13,-17,connectivity_candidate,True,1.07656058
720575941503372171,Mi1,R,720575941503372171,1,-1,connectivity_candidate,False,0.0344206411
720575941503397099,Mi1,R,720575941503397099,-13,-4,connectivity_candidate,True,0.876110694
720575941503477131,Mi1,R,720575941503477131,8,0,connectivity_candidate,False,0.0360038615
720575941503968962,Mi1,R,720575941503968962,7,-6,connectivity_candidate,False,0.0439410461
720575941504436028,Mi1,R,720575941504436028,-7,6,connectivity_candidate,False,0.495571106
720575941504728892,Mi1,R,720575941504728892,8,16,connectivity_candidate,False,0.406840539
720575941505141015,Mi1,R,720575941505141015,1,13,connectivity_candidate,False,0.0408584203
720575941505278277,Mi1,R,720575941505278277,-9,4,connectivity_candidate,False,0.497829521
720575941505428503,Mi1,R,720575941505428503,14,19,connectivity_candidate,False,0.0510177605
720575941505512471,Mi1,R,720575941505512471,9,12,connectivity_candidate,False,0.0335156669
720575941505556293,Mi1,R,720575941505556293,-9,-3,connectivity_candidate,False,0.0491065126
720575941505589669,Mi1,R,720575941505589669,8,1,connectivity_candidate,False,0.0349639475
720575941505591365,Mi1,R,720575941505591365,-4,-2,connectivity_candidate,False,0.0389768222
720575941505624389,Mi1,R,720575941505624389,-17,-7,connectivity_candidate,True,0.876067941
