# MaleCNS v1.0 type map, source name -> MaleCNS type (same rows as type_aliases.csv, source-keyed). Built by scripts/build_type_map_typing.py from: MaleCNS v1.0 body-annotations (flywireType / hemibrainType / mancType / class; CC BY 4.0), Schlegel et al. 2024 Nature doi:10.1038/s41586-024-07686-5 Supplementary Data 1 and 5 (github.com/flyconnectome/flywire_annotations v3.0.0; CC BY 4.0), Nern et al. 2025 Nature doi:10.1038/s41586-025-08746-0 Supplementary Tables 1 and 7 (CC BY 4.0), the MaleCNS Cell Type Explorer synonyms (github.com/reiserlab/celltype-explorer-drosophila-male-cns, 2026-09-09), and Olivera 2026 Neuroinformatics doi:10.1007/s12021-026-09783-4. Tiers: exact | alias | fuzzy | class (rules in the script docstring and docs/audits/receptor_sources_typing.md). Systems: flywire, hemibrain, hemibrain_body, optic_inventory, manc, literature, malecns_class.
source_name,malecns_type,tier,evidence,n_cells_malecns,system
AN_VES_GNG_4,AN00A006,alias,"MaleCNS v1.0 body-annotations flywireType='AN_VES_GNG_4,AN_VES_GNG_6' on 2/5 cells; MaleCNS 1 : FlyWire 2 (merged types)",5,flywire
AN_VES_GNG_6,AN00A006,alias,"MaleCNS v1.0 body-annotations flywireType='AN_VES_GNG_4,AN_VES_GNG_6' on 2/5 cells; MaleCNS 1 : FlyWire 2 (merged types)",5,flywire
AN00A006,AN00A006,exact,MaleCNS v1.0 body-annotations mancType='AN00A006' on 5/5 cells,5,manc
AN_GNG_35,AN00A009,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_35' on 1/1 cells,1,flywire
AN00A009,AN00A009,exact,MaleCNS v1.0 body-annotations mancType='AN00A009' on 1/1 cells,1,manc
AN_GNG_131,AN01A006,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_131' on 2/2 cells,2,flywire
AN01A006,AN01A006,exact,MaleCNS v1.0 body-annotations mancType='AN01A006' on 2/2 cells,2,manc
AN_GNG_113,AN01A014,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_113' on 2/2 cells,2,flywire
AN01A014,AN01A014,exact,MaleCNS v1.0 body-annotations mancType='AN01A014' on 2/2 cells,2,manc
AN01A021,AN01A021,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType empty",2,flywire
AN01A021,AN01A021,exact,MaleCNS v1.0 body-annotations mancType='AN01A021' on 2/2 cells,2,manc
AN_AVLP_26,AN01A033,alias,MaleCNS v1.0 body-annotations flywireType='AN_AVLP_26' on 2/2 cells,2,flywire
AN01A033,AN01A033,exact,MaleCNS v1.0 body-annotations mancType='AN01A033' on 2/2 cells,2,manc
AN_GNG_SAD_7,AN01A049,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_SAD_7' on 2/2 cells,2,flywire
AN01A049,AN01A049,exact,MaleCNS v1.0 body-annotations mancType='AN01A049' on 2/2 cells,2,manc
AN_multi_106,AN01A055,alias,MaleCNS v1.0 body-annotations flywireType='AN_multi_106' on 2/2 cells,2,flywire
AN01A055,AN01A055,exact,MaleCNS v1.0 body-annotations mancType='AN01A055' on 2/2 cells,2,manc
AN_AVLP_12,AN01A086,alias,"MaleCNS v1.0 body-annotations flywireType='AN_AVLP_12,AN_AVLP_13' on 2/2 cells; MaleCNS 1 : FlyWire 2 (merged types)",2,flywire
AN_AVLP_13,AN01A086,alias,"MaleCNS v1.0 body-annotations flywireType='AN_AVLP_12,AN_AVLP_13' on 2/2 cells; MaleCNS 1 : FlyWire 2 (merged types)",2,flywire
AN01A086,AN01A086,exact,MaleCNS v1.0 body-annotations mancType='AN01A086' on 2/2 cells,2,manc
AN_LH_AVLP_1,AN01A089,alias,MaleCNS v1.0 body-annotations flywireType='AN_LH_AVLP_1' on 2/2 cells,2,flywire
AN01A089,AN01A089,exact,MaleCNS v1.0 body-annotations mancType='AN01A089' on 2/2 cells,2,manc
AN_GNG_26,AN01B002,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_26' on 2/6 cells,6,flywire
AN_GNG_29,AN01B002,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_29' on 2/6 cells,6,flywire
AN_GNG_5,AN01B002,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_5' on 2/6 cells,6,flywire
AN01B002,AN01B002,exact,MaleCNS v1.0 body-annotations mancType='AN01B002' on 6/6 cells,6,manc
AN_GNG_162,AN01B004,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_162' on 6/6 cells,6,flywire
AN01B004,AN01B004,exact,MaleCNS v1.0 body-annotations mancType='AN01B004' on 6/6 cells,6,manc
AN_GNG_SAD_33,AN01B005,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_SAD_33' on 6/6 cells,6,flywire
AN01B005,AN01B005,exact,MaleCNS v1.0 body-annotations mancType='AN01B005' on 6/6 cells,6,manc
AN_GNG_VES_11,AN01B011,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_VES_11' on 2/6 cells,6,flywire
AN_GNG_VES_7,AN01B011,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_VES_7' on 4/6 cells,6,flywire
AN01B011,AN01B011,exact,MaleCNS v1.0 body-annotations mancType='AN01B011' on 6/6 cells,6,manc
AN_AVLP_GNG_2,AN01B014,alias,MaleCNS v1.0 body-annotations flywireType='AN_AVLP_GNG_2' on 2/2 cells,2,flywire
AN01B014,AN01B014,exact,MaleCNS v1.0 body-annotations mancType='AN01B014' on 2/2 cells,2,manc
AN_GNG_100,AN01B018,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_100' on 2/2 cells,2,flywire
AN01B018,AN01B018,exact,MaleCNS v1.0 body-annotations mancType='AN01B018' on 2/2 cells,2,manc
AN_multi_8,AN02A001,alias,MaleCNS v1.0 body-annotations flywireType='AN_multi_8' on 2/2 cells,2,flywire
AN02A001,AN02A001,exact,MaleCNS v1.0 body-annotations mancType='AN02A001' on 2/2 cells,2,manc
AN_multi_12,AN02A002,alias,MaleCNS v1.0 body-annotations flywireType='AN_multi_12' on 2/2 cells,2,flywire
AN02A002,AN02A002,exact,MaleCNS v1.0 body-annotations mancType='AN02A002' on 2/2 cells,2,manc
AN02A005,AN02A005,exact,MaleCNS v1.0 body-annotations mancType='AN02A005' on 2/2 cells,2,manc
AN_GNG_IPS_8,AN02A009,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_IPS_8' on 2/2 cells,2,flywire
AN02A009,AN02A009,exact,MaleCNS v1.0 body-annotations mancType='AN02A009' on 2/2 cells,2,manc
AN_GNG_56,AN02A016,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_56' on 2/2 cells,2,flywire
AN02A016,AN02A016,exact,MaleCNS v1.0 body-annotations mancType='AN02A016' on 2/2 cells,2,manc
AN02A017,AN02A017,exact,MaleCNS v1.0 body-annotations mancType='AN02A017' on 2/2 cells,2,manc
AN_IPS_GNG_2,AN02A022,alias,MaleCNS v1.0 body-annotations flywireType='AN_IPS_GNG_2' on 2/2 cells,2,flywire
AN02A022,AN02A022,exact,MaleCNS v1.0 body-annotations mancType='AN02A022' on 2/2 cells,2,manc
AN_multi_48,AN02A025,alias,MaleCNS v1.0 body-annotations flywireType='AN_multi_48' on 2/2 cells,2,flywire
AN02A025,AN02A025,exact,MaleCNS v1.0 body-annotations mancType='AN02A025' on 2/2 cells,2,manc
AN_GNG_82,AN02A046,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_82' on 2/2 cells,2,flywire
AN02A046,AN02A046,exact,MaleCNS v1.0 body-annotations mancType='AN02A046' on 2/2 cells,2,manc
AN_GNG_199,AN03A002,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_199' on 2/2 cells,2,flywire
Chen 2023: SS42740,AN03A002,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
AN03A002,AN03A002,exact,MaleCNS v1.0 body-annotations mancType='AN03A002' on 2/2 cells,2,manc
Cachero 2010: vPr-j,AN03A008,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",2,literature
AN03A008,AN03A008,exact,MaleCNS v1.0 body-annotations mancType='AN03A008' on 2/2 cells,2,manc
AN_GNG_12,AN03B009,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_12' on 2/2 cells,2,flywire
AN03B009,AN03B009,exact,MaleCNS v1.0 body-annotations mancType='AN03B009' on 2/2 cells,2,manc
AN_GNG_181,AN03B011,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_181' on 4/4 cells,4,flywire
AN03B011,AN03B011,exact,MaleCNS v1.0 body-annotations mancType='AN03B011' on 4/4 cells,4,manc
AN_GNG_IPS_9,AN03B039,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_IPS_9' on 2/2 cells,2,flywire
AN03B039,AN03B039,exact,MaleCNS v1.0 body-annotations mancType='AN03B039' on 2/2 cells,2,manc
AN03B050,AN03B050,exact,MaleCNS v1.0 body-annotations mancType='AN03B050' on 2/2 cells,2,manc
AN_multi_38,AN03B094,alias,MaleCNS v1.0 body-annotations flywireType='AN_multi_38' on 2/2 cells,2,flywire
AN03B094,AN03B094,exact,MaleCNS v1.0 body-annotations mancType='AN03B094' on 2/2 cells,2,manc
