# MaleCNS v1.0 cell-type aliases across connectomes. Built by scripts/build_type_map_typing.py from: MaleCNS v1.0 body-annotations (flywireType / hemibrainType / mancType / class; CC BY 4.0), Schlegel et al. 2024 Nature doi:10.1038/s41586-024-07686-5 Supplementary Data 1 and 5 (github.com/flyconnectome/flywire_annotations v3.1.0 (commit 8587524, 2026-07-21), 'matching MaleCNS v1.0'; plus the 2024 paper release of SD1 for the old optic names; CC BY 4.0), Nern et al. 2025 Nature doi:10.1038/s41586-025-08746-0 Supplementary Tables 1 and 7 (CC BY 4.0), the MaleCNS Cell Type Explorer synonyms (github.com/reiserlab/celltype-explorer-drosophila-male-cns, 2026-09-09), and Olivera 2026 Neuroinformatics doi:10.1007/s12021-026-09783-4. Tiers: exact | alias | fuzzy | class (rules in the script docstring and docs/audits/receptor_sources_typing.md). Systems: flywire, hemibrain, hemibrain_body, optic_inventory, manc, literature, malecns_class. flag: ';'-joined caveats -- unresolvable (name absent from the source), cb_placeholder, paper_release_only, unmatched, conflict_nern7_vs_malecns[_notation], minority_agreement, merged_list_only, name_only, v3_name_collision (definitions in the script docstring); empty = no caveat. Downstream joins that trust tier 'alias' should drop rows flagged unresolvable / unmatched / conflict_nern7_vs_malecns.
malecns_type,alias,system,tier,flag,evidence
AMMC017,CB3805,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB3805' on 4/4 cells
AMMC018,CB0979a,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB0979a' on 9/9 cells
AMMC019,CB0979b,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB0979b' on 10/10 cells
AMMC020,CB0989,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB0989' on 10/10 cells
AMMC021,CB3371,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB3371' on 5/5 cells
AMMC022,CB1038d,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB1038d' on 1/6 cells
AMMC022,CB2067,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB2067' on 5/6 cells
AMMC023,CB1038d,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB1038d' on 4/4 cells
AMMC024,CB1038a,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB1038a' on 2/2 cells
AMMC025,CB1978,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB1978' on 12/12 cells
AMMC026,CB0980,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB0980' on 10/10 cells
AMMC027,CB4240,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB4240' on 3/3 cells
AMMC028,CB3893,flywire,alias,unresolvable;cb_placeholder,MaleCNS v1.0 body-annotations flywireType='CB3893' on 4/4 cells; name not in Schlegel 2024 SD1 v3.1.0 cell_type list; NAME COLLISION: a FlyWire type named 'AMMC028' exists but MaleCNS maps this type elsewhere
AMMC029,CB3275b,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB3275b' on 2/2 cells
AMMC030,CB3200,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB3200' on 3/3 cells
