arm,starts,run,brain_seed,row,env_seed,start_x,start_y,heading_deg,feeding_s,first_contact_s,path_m,mean_abs_dna_lr_hz,mean_abs_turn,mean_abs_steer_input_hz,mean_abs_integral_hz,mean_abs_yaw_rad_s,min_fruit_distance_m,end_energy,zero_energy_s
feedback-only,shipped,5,36,1,1,-0.5,0.05,90.0,0.0,,0.9068779020884665,1.9699891645657863,0.0648128896990723,12.510551850199699,8.248116386458278,0.18045800706807635,0.022407501054482526,0.0,18.02
feedback-only,shipped,5,36,2,2,-0.5,0.05,-90.0,0.0,,0.8993534415433344,2.164510318409798,0.06589509593905556,12.133696770270666,7.657259966284037,0.19053624994380566,0.04077328898399995,0.0,18.05
feedback-only,shipped,5,36,3,3,-0.5,0.05,185.0,0.0,,0.899669860994074,2.0890053189467803,0.06527793746519213,13.386493760701269,9.154006231719007,0.1855697641937897,0.05537630187441233,0.0,18.04
feedback-only,shipped,5,36,4,4,-0.5,0.05,5.0,0.0,,0.9002184625014195,1.9845798795166563,0.0593382769029995,11.665777222073327,7.716993604002831,0.17168282276832453,0.05115090249408901,0.0,18.12
feedback-only,shipped,5,36,5,5,-0.5,0.05,5.0,0.0,,0.908241820632541,1.9639882641099737,0.06278802667996691,12.021804171999296,8.167249529524707,0.1678432991387446,0.05286096133222263,0.0,18.06
full,drawn,0,31,0,0,-0.19033049573388322,-0.043482688814040826,-113.49663953961064,13.569999999999755,1.87,1.396114814730507,0.09576562050313832,0.0020388290809933095,0.3367576958735784,0.17365137077557544,0.028130076870324896,-0.012516810098007074,0.7431548197759196,
full,drawn,0,31,1,1,0.536004527671718,-0.08907576783745286,-110.20876239444814,14.519999999999735,12.85,0.6063567040042965,0.38242370821734434,0.011324837485250707,2.3858804684877395,1.5406894777839382,0.049849762684849294,-0.0019496904906141695,0.7989244022173746,
full,drawn,0,31,2,2,-0.19941807766593161,-0.2751324824690579,112.97796125580754,14.999999999999725,23.9,1.5652888705615202,0.9728466891319746,0.02461995210988486,5.079822728708386,3.250658639498676,0.0911349350183914,-0.02190807381744819,0.8540064295685232,18.13
full,drawn,0,31,3,3,0.3174038294020318,-0.014724182086098103,-27.725692268078518,13.449999999999758,0.42,1.2973170070749374,0.026300415915237442,0.0001743581572857996,0.019019054969151815,0.005070402690519889,0.01940448510398897,0.004791169274221239,0.7365564871260809,
full,drawn,0,31,4,4,0.4068861628658377,-0.18105349844072238,-87.86861814303862,14.999999999999725,20.48,0.6373037710385794,0.9749319656288319,0.02850692091936556,6.169361128409704,4.080573885549481,0.09065237300147684,-0.004270082718139863,0.8366438418687432,18.0
