arm,key,seeds,files,run_ids,values,mean,sd,n
V-,GLNO_R_hz_turn,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","1.4627,1.7752,2.4912,2.1214,3.1661,1.4956",2.085382342338562,0.6581217351716175,6
V-,PEN_L_hz_turn,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","0.0467,0.0003,0.1526,0.0326,0.0154,0.0317",0.04655905678130997,0.05433864441858926,6
V-,PEN_R_hz_turn,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","0.0001,0.0001,0.0674,0.0001,0.0001,0.0208",0.014767651020520134,0.027085537572440296,6
V-,DNa02_L_hz_turn,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,6
V-,DNa02_R_hz_turn,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,6
V-,AFF_L_hz_turn,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,6
V-,AFF_R_hz_turn,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","44.6523,41.9164,42.5673,44.9742,47.0013,44.4152",44.254425684611,1.8198948629490928,6
V-,ExR6_mean_pre,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","43.7379,45.3444,42.1818,47.8920,46.6033,43.0856",44.807512283325195,2.192279906789913,6
V-,ExR6_mean_during,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","85.4781,85.9230,88.0208,83.8503,82.0473,84.8784",85.03297297159831,2.01266107141052,6
V-,ExR6_mean_post,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","41.1289,42.1670,42.4208,42.3550,42.1008,43.0388",42.20186805725098,0.6220033529577523,6
