arm,key,n_seeds,n_exactly_equal,max_abs_diff,cx9_values,reference_values,cx9_device,reference_device
V,GLNO_R_hz_turn,6,6,0.0,"0.3316,1.3144,0.1086,0.0008,0.4936,0.0000","0.3316,1.3144,0.1086,0.0008,0.4936,0.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,PEN_L_hz_turn,6,6,0.0,"0.1727,0.3061,0.0892,0.0493,0.0967,0.0764","0.1727,0.3061,0.0892,0.0493,0.0967,0.0764","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,PEN_R_hz_turn,6,6,0.0,"0.1420,0.2238,0.0513,0.0166,0.1121,0.1237","0.1420,0.2238,0.0513,0.0166,0.1121,0.1237","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,DNa02_L_hz_turn,6,6,0.0,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,DNa02_R_hz_turn,6,6,0.0,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,AFF_L_hz_turn,6,6,0.0,"43.3540,43.4948,41.8607,38.0538,45.3305,43.5896","43.3540,43.4948,41.8607,38.0538,45.3305,43.5896","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,AFF_R_hz_turn,6,6,0.0,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,ExR6_mean_pre,6,6,0.0,"43.7379,45.3444,42.1818,47.8920,46.6033,43.0856","43.7379,45.3444,42.1818,47.8920,46.6033,43.0856","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,ExR6_mean_during,6,6,0.0,"85.4781,85.9230,88.0208,83.8503,82.0473,84.8784","85.4781,85.9230,88.0208,83.8503,82.0473,84.8784","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,ExR6_mean_post,6,6,0.0,"40.8544,42.4846,41.6096,41.7459,42.4372,42.5230","40.8544,42.4846,41.6096,41.7459,42.4372,42.5230","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,ER6_mean_pre,6,6,0.0,"23.7748,25.5536,23.3792,27.4446,26.0716,24.4437","23.7748,25.5536,23.3792,27.4446,26.0716,24.4437","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,ER6_mean_during,6,6,0.0,"52.3325,52.9797,53.0667,51.2811,49.7822,51.9309","52.3325,52.9797,53.0667,51.2811,49.7822,51.9309","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
