type,malecns,fafb,banc,male_specific_annotated_cells,malecns_fruDsx,evidence
AVLP731m,4,0,0,4,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP732m,6,0,0,6,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP733m,6,0,0,6,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP734m,8,0,0,8,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP735m,2,0,0,2,coexpress_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP736m,2,0,0,2,coexpress_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP737m,2,0,0,2,coexpress_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP738m,2,0,0,2,coexpress_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP739m,5,0,0,5,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP742m,6,0,0,6,,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP743m,11,0,0,11,fru_low,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP744m,7,0,0,7,,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP745m,4,0,0,4,,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP746m,6,0,0,6,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP749m,12,0,0,12,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP750m,3,0,0,3,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP751m,2,0,0,2,,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP752m,6,0,0,6,dsx_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP753m,12,0,0,12,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP755m,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP757m,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP758m,2,0,0,2,,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP760m,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP761m,4,0,0,4,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP762m,5,0,0,5,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP763m,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP764m,2,0,0,2,,MaleCNS source dimorphism=male-specific; annotation applies to these cells
Allatostatin-C,0,0,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
B1-4,0,1,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
BM_dOcci,0,6,11,0,,female name unmatched in MaleCNS; sex specificity unestablished
BM_dPoOr,0,12,22,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0007,0,6,8,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0050,0,2,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0056,0,2,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0064,0,2,3,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0094,0,2,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0096,0,4,3,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0126,0,4,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0129,0,2,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0151,0,4,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0179,0,2,3,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0220,0,2,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0270,0,2,3,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0279,0,2,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0299,0,2,4,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0300,0,2,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0306,0,2,4,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0314,0,2,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0342,0,2,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0351,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0352,0,2,3,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0364,0,2,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0394,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0398,0,2,3,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0642,0,2,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
CB0659,0,2,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
